"","Grid","Habitat","Season","Year","mean","se","lci","uci","Species"
"1","B1","Bottomland","Spring","2017",1.86521187672228,0.934584753197553,0.128378158660158,3.6606851129581,"Raccoon"
"2","B2","Bottomland","Spring","2017",5.07918352252372,1.51340522891105,2.17160081209078,8.10804291189286,"Raccoon"
"3","B3","Bottomland","Spring","2017",6.73189027944037,1.73927057200933,3.38444872614534,10.1655503343609,"Raccoon"
"4","B4","Bottomland","Spring","2017",5.65562749105078,1.52527763473443,2.48261783934336,8.55992431560659,"Raccoon"
"5","B5","Bottomland","Spring","2017",0,0,0,0,"Raccoon"
"6","B6","Bottomland","Spring","2017",1.51139799528038,0.755918526721176,0.00644843070081984,2.939278786579,"Raccoon"
"7","P1","Pine","Spring","2017",2.24267300926705,1.22903725065412,-0.358416690168996,4.55489025768885,"Raccoon"
"8","P2","Pine","Spring","2017",1.08795334700525,0.858429507384615,-0.556024830424726,2.71034702632688,"Raccoon"
"9","P3","Pine","Spring","2017",0.385631392088748,0.314837124339626,-0.252938633627543,0.963619352505427,"Raccoon"
"10","P4","Pine","Spring","2017",0.811185736727109,0.452106949093271,-0.0112467857684892,1.73230325243503,"Raccoon"
"11","P5","Pine","Spring","2017",0.39336491600276,0.311119934022598,-0.184822986996621,0.957436140547596,"Raccoon"
"12","P6","Pine","Spring","2017",1.20222471389319,0.53567655525777,0.154432516200685,2.24048486635755,"Raccoon"
"13","R1","Riparian","Spring","2017",1.99568673995684,0.919381490663201,0.269001497930405,3.77745311457922,"Raccoon"
"14","R2","Riparian","Spring","2017",1.31401578128052,0.716039691247943,-0.0209093209501133,2.75839149059152,"Raccoon"
"15","R3","Riparian","Spring","2017",0.655156757858271,0.529552013796344,-0.400447085607316,1.65277975161185,"Raccoon"
"16","R4","Riparian","Spring","2017",6.97166202673311,2.57208562771928,1.96117064742885,12.2237147216917,"Raccoon"
"17","R5","Riparian","Spring","2017",0,0,0,0,"Raccoon"
"18","R6","Riparian","Spring","2017",0,0,0,0,"Raccoon"
"19","W1","Wetland","Spring","2017",0.567022911914619,0.483443257234076,-0.409231095596368,1.53060873079472,"Raccoon"
"20","W2","Wetland","Spring","2017",5.80802823547235,1.65836286303453,2.48754954997935,8.96259109346067,"Raccoon"
"21","W3","Wetland","Spring","2017",0.585872400603218,0.512237995759479,-0.393000333597363,1.56356723608721,"Raccoon"
"22","W4","Wetland","Spring","2017",0,0,0,0,"Raccoon"
"23","W5","Wetland","Spring","2017",1.13616558547817,0.709188448765829,-0.188797772991607,2.48100025021472,"Raccoon"
"24","W6","Wetland","Spring","2017",6.31421985425849,1.99146414383205,2.36845881706629,10.2542700165306,"Raccoon"
