,Species,grid,habType,Sex,Season,effArea.km2
1,Raccoon,B1,B,Female,Fall,1.976188938
2,Raccoon,B1,B,Female,Spring,1.976188938
3,Raccoon,B2,B,Female,Fall,1.976925387
4,Raccoon,B2,B,Female,Spring,1.976925387
5,Raccoon,B3,B,Female,Fall,1.976686066
6,Raccoon,B3,B,Female,Spring,1.976686066
7,Raccoon,B4,B,Female,Fall,1.976464145
8,Raccoon,B4,B,Female,Spring,1.976464145
9,Raccoon,B5,B,Female,Fall,1.97594408
10,Raccoon,B5,B,Female,Spring,1.97594408
11,Raccoon,B6,B,Female,Fall,1.975923691
12,Raccoon,B6,B,Female,Spring,1.975923691
13,Raccoon,P1,P,Female,Fall,2.343552515
14,Raccoon,P1,P,Female,Spring,2.23456516
15,Raccoon,P2,P,Female,Fall,2.341072828
16,Raccoon,P2,P,Female,Spring,2.232200791
17,Raccoon,P3,P,Female,Fall,2.340810482
18,Raccoon,P3,P,Female,Spring,2.231950645
19,Raccoon,P4,P,Female,Fall,2.341818035
20,Raccoon,P4,P,Female,Spring,2.232911342
21,Raccoon,P5,P,Female,Fall,2.344157938
22,Raccoon,P5,P,Female,Spring,2.235142428
23,Raccoon,P6,P,Female,Fall,2.345544882
24,Raccoon,P6,P,Female,Spring,2.182898795
,Raccoon,P7,P,Female,Fall,2.345544882
,Raccoon,P7,P,Female,Spring,2.182898795
,Raccoon,P7,P,Male,Fall,4.141843876
,Raccoon,P7,P,Male,Spring,6.267097293
25,Raccoon,R1,R,Female,Fall,1.871645068
26,Raccoon,R1,R,Female,Spring,1.369061706
27,Raccoon,R2,R,Female,Fall,1.873162944
28,Raccoon,R2,R,Female,Spring,1.370171995
29,Raccoon,R3,R,Female,Fall,1.871902525
30,Raccoon,R3,R,Female,Spring,1.36925003
31,Raccoon,R4,R,Female,Fall,1.872464995
32,Raccoon,R4,R,Female,Spring,1.369661463
33,Raccoon,R5,R,Female,Fall,1.872313905
34,Raccoon,R5,R,Female,Spring,1.369550944
35,Raccoon,R6,R,Female,Fall,1.871898178
36,Raccoon,R6,R,Female,Spring,1.36924685
37,Raccoon,W1,W,Female,Fall,2.341732697
38,Raccoon,W1,W,Female,Spring,2.232829973
39,Raccoon,W2,W,Female,Fall,2.343774836
40,Raccoon,W2,W,Female,Spring,2.234777142
41,Raccoon,W3,W,Female,Fall,2.342649016
42,Raccoon,W3,W,Female,Spring,2.233703678
43,Raccoon,W4,W,Female,Fall,2.343232294
44,Raccoon,W4,W,Female,Spring,2.23425983
45,Raccoon,W5,W,Female,Fall,2.34534614
46,Raccoon,W5,W,Female,Spring,2.182713834
47,Raccoon,W6,W,Female,Fall,2.345466738
48,Raccoon,W6,W,Female,Spring,2.182826069
49,Raccoon,B1,B,Male,Fall,2.689812719
50,Raccoon,B1,B,Male,Spring,2.749254299
51,Raccoon,B2,B,Male,Fall,2.690815108
52,Raccoon,B2,B,Male,Spring,2.750278839
53,Raccoon,B3,B,Male,Fall,2.690489365
54,Raccoon,B3,B,Male,Spring,2.749945898
55,Raccoon,B4,B,Male,Fall,2.690187307
56,Raccoon,B4,B,Male,Spring,2.749637165
57,Raccoon,B5,B,Male,Fall,2.68947944
58,Raccoon,B5,B,Male,Spring,2.748913655
59,Raccoon,B6,B,Male,Fall,2.689451688
60,Raccoon,B6,B,Male,Spring,2.74888529
61,Raccoon,P1,P,Male,Fall,4.141843876
62,Raccoon,P1,P,Male,Spring,6.267097293
63,Raccoon,P2,P,Male,Fall,4.137461436
64,Raccoon,P2,P,Male,Spring,6.260466145
65,Raccoon,P3,P,Male,Fall,4.136997783
66,Raccoon,P3,P,Male,Spring,6.259764583
67,Raccoon,P4,P,Male,Fall,4.138778467
68,Raccoon,P4,P,Male,Spring,6.262458967
69,Raccoon,P5,P,Male,Fall,4.142913862
70,Raccoon,P5,P,Male,Spring,6.268716307
71,Raccoon,P6,P,Male,Fall,4.072320408
72,Raccoon,P6,P,Male,Spring,6.272425255
73,Raccoon,R1,R,Male,Fall,6.81290466
74,Raccoon,R1,R,Male,Spring,3.849898718
75,Raccoon,R2,R,Male,Fall,6.818429824
76,Raccoon,R2,R,Male,Spring,3.853020928
77,Raccoon,R3,R,Male,Fall,6.813841822
78,Raccoon,R3,R,Male,Spring,3.850428298
79,Raccoon,R4,R,Male,Fall,6.815889248
80,Raccoon,R4,R,Male,Spring,3.851585276
81,Raccoon,R5,R,Male,Fall,6.81533927
82,Raccoon,R5,R,Male,Spring,3.85127449
83,Raccoon,R6,R,Male,Fall,6.813825999
84,Raccoon,R6,R,Male,Spring,3.850419357
85,Raccoon,W1,W,Male,Fall,4.138627646
